Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_SingleMu22,6.5,8.8,8.3,26.2%,6.1%,-27.2%,13.4,7.6,-43.1%,6490,8790,8256,7266,13351,7594
L1_SingleMu25,5.2,7.0,6.4,25.9%,-10.8%,-21.8%,9.6,5.8,-39.5%,5224,7048,6361,5756,9606,5814
L1_DoubleMu8_SQ,0.9,1.4,1.2,35.1%,-13.9%,-35.3%,1.8,1.4,-20.5%,898,1384,1215,1184,1791,1424
L1_DoubleMu9_SQ,0.5,0.8,0.8,35.2%,-8.0%,-42.8%,1.1,1.1,-6.3%,538,830,769,735,1140,1068
L1_DoubleMu_15_5_SQ,0.7,1.1,0.9,33.0%,-14.7%,-30.1%,1.6,1.1,-34.4%,709,1058,922,857,1628,1068
L1_DoubleMu_15_7,0.5,0.6,0.6,26.0%,-6.6%,-26.7%,1.3,0.6,-54.5%,458,619,580,531,1303,593
L1_DoubleMu_15_7_SQ,0.4,0.5,0.5,16.1%,-1.8%,-17.1%,1.0,0.6,-39.3%,424,505,496,490,977,593
L1_DoubleMu18er2p1,0.1,0.1,0.1,33.6%,17.4%,-82.2%,0.2,0.2,45.8%,54,81,98,0,163,237
L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,2.6,4.0,3.6,34.5%,-10.2%,-38.6%,3.1,4.6,49.6%,2612,3988,3620,4001,3094,4628
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,2.0,3.7,3.3,44.4%,-12.0%,-60.7%,3.1,4.2,34.3%,2044,3679,3285,3225,3094,4153
L1_DoubleMu4_SQ_OS_dR_Max1p2,2.7,5.4,4.8,49.2%,-11.5%,-76.5%,3.6,5.0,39.1%,2737,5388,4831,3633,3582,4984
L1_DoubleMu4p5_SQ_OS_dR_Max1p2,1.7,3.1,2.8,43.8%,-11.1%,-60.1%,2.9,3.0,1.2%,1721,3060,2754,2245,2931,2967
L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,2.1,3.5,3.3,39.7%,-6.9%,-55.2%,4.4,3.1,-29.8%,2129,3532,3305,3347,4396,3085
L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,1.2,2.1,2.1,39.5%,0.1%,-65.5%,2.8,2.1,-22.8%,1241,2051,2053,1959,2768,2136
L1_TripleMu3_SQ,1.0,2.0,1.8,51.2%,-14.5%,-79.0%,1.5,1.5,5.3%,985,2018,1762,1592,1465,1543
L1_TripleMu_5_3_3,1.0,2.4,1.9,57.7%,-27.9%,-85.0%,3.1,1.3,-57.8%,1025,2425,1896,1633,3094,1305
L1_TripleMu_5_3_3_SQ,0.7,1.5,1.3,54.0%,-15.3%,-88.5%,1.3,1.1,-18.0%,711,1546,1341,1265,1303,1068
L1_TripleMu_5_5_3,0.4,1.0,0.9,55.5%,-17.9%,-90.7%,1.0,0.6,-39.3%,449,1009,856,980,977,593
L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0.6,1.4,1.1,58.2%,-25.0%,-91.4%,1.6,0.5,-70.8%,592,1416,1133,857,1628,475
L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0.5,1.2,1.0,60.4%,-23.8%,-103.8%,1.3,0.5,-63.6%,484,1221,986,776,1303,475
L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,0.7,1.5,1.2,52.0%,-18.7%,-75.7%,1.3,1.1,-18.0%,710,1481,1248,1021,1303,1068
L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,0.5,1.0,0.8,49.4%,-29.5%,-52.7%,1.0,0.5,-51.4%,527,1042,805,776,977,475
L1_Mu7_EG20er2p5,1.4,2.2,2.1,36.0%,-5.0%,-48.9%,1.6,1.4,-12.5%,1437,2246,2139,1755,1628,1424
L1_Mu7_EG23er2p5,1.0,1.4,1.4,28.4%,1.0%,-41.0%,1.5,0.9,-35.2%,979,1367,1381,1021,1465,949
L1_Mu20_EG10er2p5,1.1,1.3,1.2,15.9%,-8.0%,-10.1%,1.6,0.9,-41.7%,1095,1302,1206,1715,1628,949
L1_Mu7_LooseIsoEG20er2p5,1.0,0.8,0.8,-17.1%,-1.7%,16.0%,1.0,0.7,-27.1%,972,830,816,1102,977,712
L1_Mu7_LooseIsoEG23er2p5,0.7,0.6,0.6,-22.1%,2.5%,16.0%,0.8,0.7,-12.5%,715,586,601,776,814,712
L1_Mu6_DoubleEG12er2p5,0.5,0.6,0.5,18.7%,-17.2%,-4.9%,0.8,0.6,-27.1%,490,602,514,776,814,593
L1_Mu6_DoubleEG15er2p5,0.2,0.2,0.1,-8.4%,-31.9%,30.1%,0.7,0.1,-81.8%,176,163,123,408,651,119
L1_Mu6_DoubleEG17er2p5,0.1,0.1,0.0,-13.3%,-77.4%,50.2%,0.0,0.0,-,92,81,46,204,0,0
L1_DoubleMu5_SQ_EG9er2p5,0.9,1.3,1.1,26.6%,-16.7%,-16.8%,1.5,0.6,-59.5%,919,1253,1074,1021,1465,593
L1_DoubleMu3_OS_DoubleEG7p5Upsilon,0.2,0.2,0.1,16.7%,-76.7%,32.1%,0.2,0.0,-100.0%,203,244,138,490,163,0
L1_DoubleMu5Upsilon_OS_DoubleEG3,0.3,0.7,0.7,56.3%,1.4%,-131.9%,0.5,0.6,21.5%,320,733,743,572,488,593
L1_Mu3er1p5_Jet100er2p5_ETMHF40,1.1,2.5,2.2,55.7%,-10.6%,-104.2%,1.8,2.0,12.6%,1088,2458,2222,1510,1791,2017
L1_Mu3er1p5_Jet100er2p5_ETMHF50,0.8,1.8,1.7,54.2%,-11.4%,-95.8%,1.6,1.4,-12.5%,843,1839,1651,1102,1628,1424
